0.986, 0.003, 0.003, 29012.938, 29442.697, true
0.990, 0.093, 0.094, 29124.489, 29731.815, true
0.974, 0.124, 0.130, 28720.358, 29683.248, true
0.989, 0.124, 0.125, 29049.291, 29944.307, true
0.977, 0.134, 0.128, 28824.645, 29528.983, true
0.966, 0.136, 0.136, 28348.770, 29237.707, true
1.005, 0.132, 0.133, 29578.521, 30367.710, true
1.000, 0.123, 0.125, 29384.995, 30072.542, true
1.007, 0.145, 0.150, 29637.419, 30445.551, true
1.017, 0.129, 0.136, 29862.476, 30564.350, true
0.976, 0.104, 0.108, 28617.374, 29488.812, true
0.904, 0.183, 0.157, 26797.826, 29457.585, true
0.514, 0.437, 0.204, 15381.889, 30497.106, true
0.140, 0.204, 0.163, 4383.866, 30297.930, true
0.114, 0.010, 0.009, 3361.461, 29231.482, true
0.114, 0.016, 0.010, 3621.011, 31241.343, true
0.116, 0.016, 0.009, 3694.273, 31223.206, true
0.120, 0.005, 0.003, 3541.981, 29274.113, true
0.122, 0.003, 0.002, 3586.995, 29291.906, true
